State,ABBR,Jan 2020,Feb 2020,Mar 2020,Apr 2020,May 2020,Jun 2020,Jul 2020,Aug 2020,Sep 2020,Oct 2020,Nov 2020,Dec 2020,Jan 2021,Feb 2021,Mar 2021,Apr 2021,May 2021,Jun 2021,Population
Alabama,AL,44,56,3143,6786,12037,25540,56967,36567,26999,34840,65369,123069,93140,30094,13386,11871,8003,5057,"4,903,185"
Alaska,AK,0,0,128,227,108,481,2049,2297,2601,7507,16395,13978,6991,3569,4207,4871,2072,898,"731,545"
Arizona,AZ,1,0,1288,6359,12288,59300,94826,27856,16702,27495,80961,193483,238290,58558,25029,20061,18953,13425,"7,278,717"
Arkansas,AR,0,0,560,2695,3998,13524,21734,18713,22473,28493,45169,67779,70130,27147,7983,5327,5656,8004,"3,017,804"
California,CA,3,389,16435,44792,70730,156851,289052,159154,99678,121089,374665,1172005,948913,195116,82385,66510,39852,31863,"39,512,223"
Colorado,CO,0,0,2966,12216,11196,6337,14094,10615,13112,36814,125555,101192,59324,34882,33778,48885,32208,14257,"5,758,736"
Connecticut,CT,0,0,3128,24572,14501,4313,3296,3069,4671,13657,46088,68413,64315,29923,30942,28345,8273,1846,"3,565,287"
Delaware,DE,0,0,414,4632,4705,1977,3598,2439,3141,4380,11232,22329,20976,8888,7193,9353,3619,868,"973,764"
District of Columbia,DC,0,0,495,3828,4478,1526,1799,1866,1334,1940,4286,7431,7889,3726,3915,3184,1234,382,"705,749"
Florida,FL,0,0,6490,27200,21074,95017,315249,151599,81422,93946,191373,317158,389172,184454,145346,172195,90155,50066,"21,477,737"
Georgia,GA,0,2,4234,21005,20371,36065,109057,90035,54948,53276,82570,194889,242993,97076,53027,40639,23654,10732,"10,617,423"
Hawaii,HI,0,0,283,324,37,264,1264,6450,3858,2515,2713,3318,4176,1687,2306,2915,2341,1356,"1,415,872"
Idaho,ID,0,0,525,1490,824,3278,14604,11367,9960,22560,37090,39379,21606,8457,9396,7120,4422,2920,"1,787,065"
Illinois,IL,2,0,5992,46924,67342,23978,35880,56607,59038,120796,309745,237085,162912,60395,57889,90470,47131,9553,"12,671,821"
Indiana,IN,0,0,2159,15676,16739,11020,20560,28042,25823,59339,159628,172712,115569,35331,25339,32488,23723,9779,"6,732,219"
Iowa,IA,0,0,497,6648,12407,9395,15635,20241,24007,39136,101482,51221,38578,17082,14670,13843,6582,2437,"3,155,070"
Kansas,KS,0,0,428,3810,5481,4724,13369,14800,17137,25432,72265,64987,52252,18978,8709,6758,5182,3794,"2,913,314"
Kentucky,KY,0,0,843,4206,5427,6619,17392,20435,20612,36953,77995,89033,93683,38961,19571,16239,11460,5530,"4,467,673"
Louisiana,LA,0,0,5237,22807,11872,18179,58185,32614,18564,19191,45765,82861,85351,29474,14833,13648,12836,9586,"4,648,794"
Maine,ME,0,0,303,820,1226,945,643,611,883,1237,5308,12225,15341,5221,6025,10742,6289,1235,"1,344,212"
Maryland,MD,0,0,1660,21812,29855,14591,21447,19498,16647,20635,54990,79084,75417,27066,30226,35412,11604,2410,"6,045,680"
Massachusetts,MA,0,1,6619,55585,34760,6736,6086,8997,11627,26460,67556,149046,148847,57123,54432,53393,18064,2929,"6,892,503"
Michigan,MI,0,0,19887,34478,43512,26881,41093,38966,36646,66473,173137,107516,63866,34815,110205,157740,39794,6176,"9,986,857"
Minnesota,MN,0,0,689,4447,20072,11508,18472,20676,23270,49338,170291,96539,46505,22787,34044,56283,25638,3915,"5,639,632"
Mississippi,MS,0,0,2242,6218,8987,15389,31944,21714,15005,21304,36049,63076,55973,18619,9712,6746,5132,4189,"2,976,149"
Missouri,MO,0,0,2558,6142,5393,11267,30375,35304,46213,65625,135242,111450,76800,24690,17032,17582,14044,20308,"6,137,428"
Montana,MT,0,0,203,250,62,503,2947,3528,5900,19408,29397,19357,12394,6005,4598,4193,3012,1926,"1,068,778"
Nebraska,NE,0,0,177,4104,9820,5076,7034,8076,11278,25178,57681,38489,23930,10169,8464,10688,3204,1217,"1,934,408"
Nevada,NV,0,0,1113,3894,3603,10074,29628,21172,10601,20678,51406,72562,53577,15446,10008,11676,8694,9580,"3,080,156"
New Hampshire,NH,0,0,367,1779,2505,1131,801,692,991,2818,9910,23034,21667,9729,8752,10710,3860,758,"1,359,711"
New Jersey,NJ,0,0,18696,99957,42154,11871,11286,11506,15118,39343,117852,160001,169045,92527,119460,97412,19109,7063,"8,882,190"
New Mexico,NM,0,0,315,3096,4278,4458,8453,4752,4083,17055,50605,45769,31200,11068,6520,6081,5415,2394,"2,096,829"
New York,NY,0,0,32656,104238,30573,10808,11591,10653,14089,29663,91730,212153,263125,107667,107227,92985,32062,6255,"19,453,561"
North Carolina,NC,0,0,2314,9178,19153,41133,56626,44946,41362,65155,94746,199429,208556,82909,51787,53979,29841,12228,"10,488,084"
North Dakota,ND,0,0,126,941,1510,999,3026,5398,10218,22825,34612,13115,4913,2169,3447,4340,2323,756,"762,062"
Ohio,OH,0,0,2199,15828,17486,16276,39370,31998,30830,61710,205366,279317,195412,71630,50144,54746,29932,9080,"11,689,100"
Oklahoma,OK,0,28,1627,2789,2983,11587,23629,20734,30917,39651,85987,105592,83375,24269,9213,6789,4072,4938,"3,956,971"
Oregon,OR,0,1,689,1820,1733,4413,9837,8220,6796,11412,30510,38478,28507,13181,9415,19800,16663,7162,"4,217,737"
Pennsylvania,PA,0,0,4843,40920,26519,14960,25694,21089,24942,49060,153451,279127,202899,88418,93215,125868,51174,9892,"12,801,989"
Rhode Island,RI,0,0,510,8194,6172,1901,2238,2811,2965,8683,23503,32731,26127,10604,11213,10639,3538,682,"1,059,361"
South Carolina,SC,0,0,1143,5062,6220,25254,53859,32418,25521,29012,43388,101470,143549,57344,30058,24705,12875,5197,"5,148,714"
South Dakota,SD,0,0,108,2341,2544,1771,2000,4745,8880,23603,34472,18700,9086,4177,5332,4901,1531,345,"884,659"
Tennessee,TN,0,0,3232,9451,12273,24879,59655,46049,42331,70595,127208,210535,127764,43787,34813,32219,16645,5577,"6,829,174"
Texas,TX,0,0,3266,24821,36200,95699,260960,192023,135998,151629,310361,477740,604460,283392,139281,99922,60617,44613,"28,995,881"
Utah,UT,0,0,934,3819,5191,12802,18051,11995,20250,41614,81050,80906,70012,24611,14406,11682,8847,8969,"3,205,958"
Vermont,VT,0,0,271,521,108,203,192,185,127,414,2013,2932,4109,2969,3924,3504,1185,167,"623,989"
Virginia,VA,0,0,1484,15417,28497,17389,28014,30814,27106,33672,57671,114703,152873,69534,43628,39751,15044,4967,"8,535,519"
Washington,WA,1,0,5340,9067,7353,11065,23919,18469,13687,21135,59558,76819,66279,27424,24184,38608,33767,14920,"7,614,893"
West Virginia,WV,0,0,162,963,885,895,3737,3608,5598,8612,23382,37492,35667,10854,9883,11390,8585,2328,"1,792,147"
Wisconsin,WI,0,0,1351,5503,11549,13259,25272,23634,48555,108747,173860,108708,71702,25227,18674,24409,13970,3202,"5,822,434"
Wyoming,WY,0,0,120,439,344,584,1239,1116,2106,7350,20007,11104,7503,2482,1916,1832,2164,1984,"578,759"